Outlet Name,Code,City
CC-CHD-Industrial Area,CHD IND,Chandigarh
CC-CHD-Mohali,CHD MHL,Chandigarh
CC-CHD-Zirakpur,CHD ZRK,Chandigarh
CC-DL-Dwarka,DWRK,Delhi
CC-DL-Janakpuri,JNKP,Delhi
CC-DL-Karol Bagh,KRBH,Delhi
CC-DL-Krishna Nagar,KRINGR,Delhi
CC-DL-Mayur Vihar Ph 3,MVPH3,Delhi
CC-DL-NFC,NFC,Delhi
CC-DL-Paschim Vihar,Pasv,Delhi
CC-DL-Rohini,Rohini,Delhi
CC-DL-Sarita Vihar,Sarv,Delhi
CC-DL-Shahpurjat,SHPJ,Delhi
CC-DL-Shalimar Bagh,SHBH,Delhi
CC-DL-Vasant Kunj,VSKJ,Delhi
CC-FBD-Sector 15,FBD 15,Faridabad
CC-GGN-DLF Ph 4,DLF 4,GGN
CC-GGN-Sector 37,GGN 37,GGN
CC-GGN-Sector 4,DLF 3,GGN
CC-GGN-Sector 49,GGN 49,GGN
CC-GGN-Sector 60,GGN 60,GGN
CC-GGN-Sector 86,GGN 86,GGN
CC-GZB-Raj Nagar,RajN,Ghazi
CC-GZB-Vasundhara,VSDH,Ghazi
CC-JP-Bais Godam,JP BG,Jaipur
CC-JP-Malviya Nagar,JP MN,Jaipur
CC-JP-Vaishali Nagar,JP VN,Jaipur
CC-ND-Alpha 2,AlP2,Noida
CC-ND-Gaur City,GCN,Noida
CC-ND-Sector 45,NDA 45,Noida
CC-ND-Sector 68,NDA 67,Noida
CC-ND-Sector141,NDA 5,Noida
CC-UP-Meerut,UPMRT,Meerut
CC-CHD-Sector 16,CHD 16,Chandigarh
CC-FBD-Sector 37,FBD 37,Faridabad
CC-GGN-Udyog Vihar,GGN UDYV,GGN
CC-DL-Dwarka Mor,DWRK_MOR,Delhi
CC-ND-Gaur City 1,GCN 1,Noida
CC-ND-Sector 116,NDA 116,Noida
CC-JP-Pratap Nagar,JP PN,Jaipur
CC-LKO-Gomti Nagar,LKO GM,Lucknow
CC-LKO-Jankipuram,LKO JKPM,Lucknow
CC-LKO-Ashiyana,LKO ASHY,Lucknow
CC-LKO-Hazratganj,LKO HZGJ,Lucknow
CC-GGN-Sector 52,GGN 52,GGN
CC-ND-Diamond Plaza,GCN 1,Noida
CC-DL-South Campus,SCMP,Delhi
CC-PB-Ludhiana,PB LDH,Ludhiana
