item_name,Alias,Category,Shelf Life
Achari & Italian Seasoning Lavash Combo,Achari Lavash (110 Gm),Snacks,30 Days
Achari Lavash (110 Gm),Achari Lavash (110 Gm),Snacks,30 Days
Achari Lavash & Grissini Stick Combo,Achari Lavash (110 Gm),Snacks,30 Days
Almond Biscotti (80 Gm),Almond Biscotti (80 Gm),Snacks,30 Days
Almond Croissant,Almond Croissant,Desserts,2 Days
Almond Rocher Cake (500 Gm),Almond Rocher Cake (500 Gm),Cakes,4 Days
Apple Pie Tart,Apple Pie Tart,Desserts,3 Days
Balloons-set Of 25 Pcs,Balloons-set Of 25 Pcs,Addons,90 Days
Banoffee Pie,Banoffee Pie,Desserts,3 Days
Base Brownie,Base Brownie,Desserts,10 Days
Basque Cheesecake Slice,Basque Cheesecake Slice,Cheesecakes,5 Days
Be Mine Valentines Bento Cake (300 Gm),Be Mine Valentines Bento Cake (300 Gm),Valenitne Menu,4 Days
Be Mine Valentines Mille-feuille,Be Mine Valentines Mille-feuille,Desserts,3 Days
Belgian Chocolate Mousse Cake (500 Gm),Belgian Chocolate Mousse Cake (500 Gm),Cakes,4 Days
Belgian Chocolate Mousse Slice,Belgian Chocolate Mousse Slice,Desserts,4 Days
Belgian Chocolate Tart Slice,Belgian Rum Tart,Desserts,5 Days
Belgian Rum Tart,Belgian Rum Tart,Desserts,5 Days
Belgian Tart Slice,Belgian Rum Tart,Desserts,5 Days
Belgium Chocolate Eclairs,Belgium Chocolate Eclairs,Desserts,2 Days
Best Mom Ever Bento Cake (300 Gm),Best Mom Ever Bento Cake (300 Gm),Seasonal,3 Days
Birthday Cap-boy,Birthday Cap-boy,Addons,90 Days
Birthday Cap-girl,Birthday Cap-girl,Addons,90 Days
Biscoff & Blueberry Cheesecake Combo,Eggless Cheesecake Slice,Cheesecakes,5 Days
Biscoff & Nutella Cheesecake Combo,Eggless Cheesecake Slice,Cheesecakes,5 Days
Biscoff Cheesecake Jar,Cheese Cake Jar,Cheesecakes,5 Days
Black Forest Cake (500 Gm),Black Forest Cake (500 Gm),Cakes,3 Days
Blueberry & Chocolate Jar Cake Combo (180 Ml),Cheese Cake Jar,Cheesecakes,5 Days
Blueberry & Nutella Cheesecake Combo,Eggless Cheesecake Slice,Cheesecakes,5 Days
Blueberry Baked Cheesecake (1 Kg),Eggless Vanilla Cheesecake 1 Kg,Cheesecakes,5 Days
Blueberry Baked Cheesecake (500 Gm),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
Blueberry Baked Cheesecake (500 Gms),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
Blueberry Baked Cheesecake Jar,Cheese Cake Jar,Cheesecakes,5 Days
Blueberry Baked Cheesecake Slice,Eggless Cheesecake Slice,Cheesecakes,5 Days
Blueberry Baked Eggless Cheesecake (500 Gms),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
Blueberry Bento Cake (300 Gm),Blueberry Bento Cake (300 Gm),Cakes,3 Days
Blueberry Jar Cake (180 Ml),Blueberry Jar Cake (180 Ml),Desserts,3 Days
Breakup Banana Bread,Breakup Banana Bread,Desserts,3 Days
Butter Cookies [20 Pcs],Christmas Butter Cookies [20 Pcs],Christmas,7 Days
Butter Croissant,Butter Croissant,Desserts,2 Days
Butterscotch Cake (500 Gm),Butterscotch Eggless Cake (500 Gms),Cakes,3 Days
Butterscotch Eggless Cake (500 Gms),Butterscotch Eggless Cake (500 Gms),Cakes,3 Days
Cake Topper,Cake Topper,Addons,90 Days
Carrot Cake Slice,Carrot Cake Slice,Christmas,3 Days
CC Black Forest Eggless Cake (500 Gm),Black Forest Cake (500 Gm),Cakes,3 Days
CC Blueberry Baked Cheesecake (500 Gm),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
CC Chocolate Truffle Eggless Cake (500 Gm),Chocolate Truffle Eggless Cake (500 Gms),Cakes,5 Days
CC Fresh Fruit Eggless Cake (500 Gm),Fresh Fruit Eggless Cake (500 Gms),Cakes,2 Days
CC Lotus Biscoff Baked Cheesecake (500 Gm),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
CC New York Baked Cheesecake (500 Gm),Eggless Vanilla Cheesecake 0.5kg,Cheesecakes,5 Days
CC Nutella Baked Cheesecake (500 Gm),Eggless Vanilla Cheesecake 1 Kg,Cheesecakes,4 Days
CC Pineapple Eggless Cake (500 Gm),Pineapple Eggless Cake (500 Gms),Cakes,4 Days
CC Red Velvet Eggless Cake (500 Gm),Red Velvet Cake (500 Gms),Cakes,3 Days
Choco Truffle Pastry,Chocolate Truffle Pastry,Desserts,5 Days
Chocolate & Strawberry Valentines Bento Cake (300 Gm),Chocolate & Strawberry Valentines Bento Cake (300 Gm),Valenitne Menu,4 Days
Chocolate Bomboloni,Chocolate Bomboloni,Desserts,3 Days
Chocolate Butterscotch Cake (500 Gm),Chocolate Butterscotch Cake (500 Gm),Cakes,4 Days
Chocolate Dairy Milk Cake (500 Gm),Classic Dairy Milk Eggless Cake (500 Gms),Cakes,5 Days
Chocolate Dairy Milk Pastry,Chocolate Dairy Milk Pastry,Desserts,5 Days
Chocolate Filled Strawberry Glass,Chocolate Filled Strawberry Glass,Valenitne Menu,2 Days
Chocolate Heart Valentines Bento Cake (300 Gm),Chocolate Heart Valentines Bento Cake (300 Gm),Valenitne Menu,4 Days
Chocolate Jar Cake (180 Ml),Chocolate Jar Cake (180 Ml),Desserts,5 Days
Chocolate Kissed Valentines Palmiers [4 Pcs],Chocolate Kissed Valentines Palmiers [4 Pcs],Valenitne Menu,30 Days
Chocolate Kunafa Jar,Chocolate Kunafa Jar,Desserts,4 Days
Chocolate Mousse Cake (500 Gm),Chocolate Mousse Cake (500 Gm),Cakes,4 Days
Chocolate Mousse Pastry,Chocolate Mousse Pastry,Desserts,4 Days
Chocolate Palmiers [4 Pcs],Chocolate Kissed Valentines Palmiers [4 Pcs],Desserts,15 Days
Chocolate Rocher Pastry,Chocolate Rocher Pastry,Desserts,4 Days
Chocolate Tiramisu Pastry,Chocolate Tiramisu Pastry,Desserts,3 Days
Chocolate Tiramisu Pastry & Belgian Chocolate Tart Slice,Chocolate Tiramisu Pastry,Desserts,3 Days
Chocolate Truffle Bento Cake (300 Gm),Chocolate Truffle Bento Cake (300 Gm),Cakes,5 Days
