Location,Location Code,S NO,Location.1,Location Code.1,City
CC-ND-Alpha 2,AlP2,1,CC-ND-Alpha 2,AlP2,
CC-GGN-Sector 4,DLF 3,2,CC-GGN-Sector 4,DLF 3,
CC-ND-Sector 68,NDA 67,3,CC-ND-Sector 68,NDA 67,
CC-DL-Shahpurjat,SHPJ,4,CC-DL-Shahpurjat,SHPJ,
CC-DL-Janakpuri,JNKP,5,CC-DL-Janakpuri,JNKP,
CC-DL-Krishna Nagar,KRINGR,6,CC-DL-Krishna Nagar,KRINGR,
CC-GGN-DLF Ph 4,DLF 4,7,CC-GGN-DLF Ph 4,DLF 4,
CC-GGN-Sector 49,GGN 49,8,CC-GGN-Sector 49,GGN 49,
CC-ND-Sector 45,NDA 45,9,CC-ND-Sector 45,NDA 45,
CC-ND-Sector141,NDA 5,10,CC-ND-Sector141,NDA 5,
CC-DL-Dwarka,DWRK,11,CC-DL-Dwarka,DWRK,
CC-DL-Karol Bagh,KRBH,12,CC-DL-Karol Bagh,KRBH,
CC-DL-Shalimar Bagh,SHBH,13,CC-DL-Shalimar Bagh,SHBH,
CC-FBD-Sector 15,FBD 15,14,CC-FBD-Sector 15,FBD 15,
CC-GZB-Vasundhara,VSDH,15,CC-GZB-Vasundhara,VSDH,
CC-DL-Vasant Kunj,VSKJ,16,CC-DL-Vasant Kunj,VSKJ,
CC-UP-Meerut,UPMRT,17,CC-UP-Meerut,UPMRT,
CC-ND-Gaur City,GCN,18,CC-ND-Gaur City,GCN,
CC-DL-NFC,NFC,19,CC-DL-NFC,NFC,
CC-DL-Mayur Vihar Ph 3,MVPH3,20,CC-DL-Mayur Vihar Ph 3,MVPH3,
CC-JP-Malviya Nagar,JP MN,21,CC-JP-Malviya Nagar,JP MN,
CC-JP-Bais Godam,JP BG,22,CC-JP-Bais Godam,JP BG,
CC-JP-Vaishali Nagar,JP VN,23,CC-JP-Vaishali Nagar,JP VN,
CC-GGN-Sector 60,GGN 60,24,CC-GGN-Sector 60,GGN 60,
CC-GGN-Sector 86,GGN 86,25,CC-GGN-Sector 86,GGN 86,
CC-GGN-Sector 37,GGN 37,26,CC-GGN-Sector 37,GGN 37,
CC-DL-Rohini,Rohini,27,CC-DL-Rohini,Rohini,
CC-DL-Paschim Vihar,Pasv,28,CC-DL-Paschim Vihar,Pasv,
CC-DL-Sarita Vihar,Sarv,29,CC-DL-Sarita Vihar,Sarv,
CC-GZB-Raj Nagar,RajN,30,CC-GZB-Raj Nagar,RajN,
CC-CHD-Mohali,CHD MHL,31,CC-CHD-Mohali,CHD MHL,
CC-CHD-Zirakpur,CHD ZRK,32,CC-CHD-Zirakpur,CHD ZRK,
CC-CHD-Sector 16,CHD 16,33,CC-CHD-Sector 16,CHD 16,
CC-CHD-Industrial Area,CHD IND,34,CC-CHD-Industrial Area,CHD IND,
CC-FBD-Sector 37,FBD 37,35,CC-FBD-Sector 37,FBD 37,
CC-GGN-Udyog Vihar,GGN UDYV,36,CC-GGN-Udyog Vihar,GGN UDYV,
CC-DL-Dwarka Mor,DWRK_MOR,37,CC-DL-Dwarka Mor,DWRK_MOR,
CC-ND-Gaur City 1,GCN 1,38,CC-ND-Gaur City 1,GCN 1,
CC-ND-Sector 116,NDA 116,39,CC-ND-Sector 116,NDA 116,
CC-JP-Pratap Nagar,JP PN,40,CC-JP-Pratap Nagar,JP PN,
CC-LKO-Gomti Nagar,LKO GM,41,CC-LKO-Gomti Nagar,LKO GM,
CC-LKO-Jankipuram,LKO JKPM,42,CC-LKO-Jankipuram,LKO JKPM,
CC-LKO-Ashiyana,LKO ASHY,43,CC-LKO-Ashiyana,LKO ASHY,
CC-LKO-Hazratganj,LKO HZGJ,44,CC-LKO-Hazratganj,LKO HZGJ,
CC-GGN-Sector 52,GGN 52,45,CC-GGN-Sector 52,GGN 52,
CC-ND-Diamond Plaza,GCN 1,46,CC-ND-Diamond Plaza,GCN 1,
