restaurant_name,Type
CC-GGN-Sector 4,Dark Store
CC-ND-Sector 68,Dark Store
CC-DL-Janakpuri,Dark Store
CC-DL-Shahpurjat,Dark Store
CC-ND-Alpha 2,Dark Store
CC-GGN-DLF Ph 4,Dark Store
CC-DL-Krishna Nagar,Dark Store
CC-GGN-Sector 49,Dark Store
CC-ND-Sector 45,Dark Store
CC-ND-Sector141,Dark Store
SK-ND-Sector 67,Spoke Kitchen
SK-GGN-Sikanderpur,Spoke Kitchen
Sk-DL-Janakpuri,Spoke Kitchen
CC-DL-Karol Bagh,Dark Store
CC-DL-Shalimar Bagh,Dark Store
CC-DL-Dwarka,Dark Store
CC-FBD-Sector 15,Dark Store
CC-GZB-Vasundhara,Dark Store
CC-DL-Vasant Kunj,Dark Store
CC-UP-Meerut,Dark Store
CC-ND-Gaur City,Dark Store
CC-DL-NFC,Dark Store
CC-DL-Mayur Vihar Ph 3,Dark Store
CC-JP-Malviya Nagar,Dark Store
CC-JP-Bais Godam,Dark Store
CC-JP-Vaishali Nagar,Dark Store
CC-GGN-Sector 60,Dark Store
CC-GGN-Sector 86,Dark Store
CC-DL-Rohini,Dark Store
CC-DL-Paschim Vihar,Dark Store
CC-GGN-Sector 37,Dark Store
CC-GZB-Raj Nagar,Dark Store
CC-DL-Sarita Vihar,Dark Store
CC-CHD-Mohali,Dark Store
CC-CHD-Zirakpur,Dark Store
CC-CHD-Industrial Area,Dark Store
CC-CHD-Sector 16,Dark Store
CC-FBD-Sector 37,Dark Store
CC-GGN-Udyog Vihar,Dark Store
CC-DL-Dwarka Mor,Dark Store
CC-ND-Gaur City 1,Dark Store
CC-ND-Sector 116,Dark Store
CC-JP-Pratap Nagar,Dark Store
CC-LKO-Gomti Nagar,Dark Store
CC-LKO-Jankipuram,Dark Store
CC-LKO-Ashiyana,Dark Store
CC-LKO-Hazratganj,Dark Store
CC-GGN-Sector 52,Dark Store
CC-ND-Diamond Plaza,Dark Store
